X1,X2,X3,y
2.02,1.37,6.71,0
6.12,3.03,2.67,1
3.64,2.41,5.63,1
1.39,8.42,5.7,0
5.92,2.34,6.67,1
1.65,8.54,0.14,0
8.87,4.31,8.92,1
7.34,1.26,3.26,1
9.64,3.02,9.53,1
7.98,3.03,4.6,1
7.7,5.53,9.74,1
6.62,4.23,3.0,1
3.08,3.08,7.42,0
3.31,0.81,5.08,0
8.76,1.5,6.31,1
2.36,4.09,3.66,0
0.03,3.87,1.51,0
2.68,2.91,7.23,0
5.16,1.05,7.95,1
2.31,2.3,3.2,0
0.2,8.91,0.15,0
2.19,1.46,3.34,0
4.25,2.95,2.53,0
2.22,8.93,3.4,0
9.0,3.57,0.33,1
8.77,9.54,1.6,1
1.98,6.61,7.71,0
0.54,1.85,8.41,0
2.63,1.14,8.56,0
2.62,9.83,7.05,0
1.99,7.88,8.51,0
4.47,0.27,3.04,1
4.17,3.7,6.47,0
0.57,8.84,3.6,0
0.84,2.29,2.08,0
6.95,9.63,0.59,0
8.19,1.79,1.03,1
6.81,1.41,7.71,1
4.08,2.21,9.97,1
2.0,6.26,8.09,0
1.14,7.6,0.47,0
0.81,2.64,5.31,0
4.5,1.66,5.22,1
4.57,8.4,7.56,0
6.68,8.17,2.19,0
9.38,6.1,2.3,1
10.0,4.47,6.39,1
2.46,3.23,5.67,0
7.11,6.65,8.0,1
4.77,2.92,9.68,1
3.72,3.94,5.02,0
0.62,2.27,4.08,0
5.69,6.38,4.4,1
3.55,3.95,2.33,0
1.44,4.7,6.17,0
0.43,5.05,0.59,0
2.29,9.54,5.8,0
4.01,4.75,2.97,0
8.76,7.33,1.83,1
8.08,6.43,4.64,1
7.34,3.24,7.98,1
4.92,3.62,7.61,1
8.97,0.8,5.96,1
8.86,6.62,9.02,1
8.97,3.89,6.61,1
5.33,4.86,8.01,1
0.02,9.7,7.68,0
7.85,8.97,2.78,1
8.53,3.29,3.0,1
2.73,9.07,1.29,0
3.13,1.64,6.33,0
9.55,6.16,3.49,1
7.23,0.03,9.89,1
2.14,6.03,1.79,0
7.83,8.63,6.33,1
3.45,2.45,0.99,0
4.56,4.18,2.07,0
5.88,4.12,6.36,1
5.28,6.23,7.38,1
0.53,2.32,3.57,0
2.44,0.72,5.17,0
4.79,4.55,1.47,0
6.85,5.43,0.93,1
0.23,3.32,7.83,0
5.51,3.51,3.57,1
2.87,5.29,2.17,0
1.98,9.32,8.19,0
3.08,8.24,3.79,0
7.57,8.13,7.21,1
5.03,1.68,3.95,1
9.64,6.91,7.58,1
8.0,2.25,2.3,1
6.31,1.53,2.6,1
0.35,0.2,6.15,0
3.76,3.99,1.29,0
8.42,7.54,4.1,1
9.77,7.87,8.06,1
0.85,3.44,3.65,0
5.69,9.46,9.99,1
3.6,7.69,0.35,0
3.26,5.27,0.47,0
9.26,2.86,0.75,1
4.7,0.74,6.52,1
8.37,8.01,4.96,1
2.91,7.12,6.9,0
3.85,3.7,8.8,1
6.21,3.11,0.85,1
0.61,5.36,5.09,0
4.34,2.78,8.0,1
1.03,3.17,6.28,0
1.26,9.92,5.75,0
0.48,0.73,4.23,0
7.29,8.61,5.12,1
5.08,7.52,7.77,0
6.61,7.11,4.17,1
9.46,5.83,5.72,1
9.82,5.12,8.8,1
4.26,2.75,2.63,0
5.73,2.87,1.15,1
7.57,9.0,4.41,1
9.2,4.86,2.81,1
8.82,9.32,1.69,1
2.44,6.16,0.79,0
0.81,4.77,0.99,0
1.25,6.3,6.18,0
8.77,1.4,1.44,1
2.45,6.05,2.42,0
3.74,6.22,7.34,0
1.94,5.91,9.81,0
0.96,0.03,3.93,0
5.2,6.15,9.4,1
0.3,4.58,7.52,0
7.63,2.36,6.34,1
9.72,5.7,2.99,1
6.98,1.87,2.38,1
4.0,1.0,6.42,1
4.61,3.48,4.52,0
0.15,7.68,9.61,0
1.2,0.58,1.56,0
0.12,6.42,9.23,0
2.53,5.67,1.96,0
7.77,8.51,3.03,1
6.1,8.31,5.23,0
8.57,3.42,7.53,1
1.41,4.19,5.82,0
2.55,2.13,3.3,0
3.09,1.79,5.52,0
4.66,8.84,5.95,0
9.9,6.22,1.57,1
5.26,3.18,4.22,1
5.65,1.47,1.0,1
8.66,6.59,8.23,1
1.34,9.36,4.38,0
0.67,6.7,1.15,0
9.03,0.96,1.21,1
0.32,4.58,2.97,0
2.57,9.6,6.71,0
1.85,6.78,8.66,0
1.56,5.44,2.67,0
9.92,1.28,1.08,1
0.11,0.15,7.68,0
7.09,8.17,6.86,1
7.03,8.66,6.45,1
3.93,6.89,4.01,0
3.2,4.51,4.82,0
7.67,5.12,3.0,1
7.53,9.37,2.77,1
9.96,3.19,6.76,1
1.43,7.01,0.43,0
7.72,4.02,4.21,1
6.54,0.29,3.6,1
0.35,3.81,4.74,0
1.12,4.18,7.65,0
2.49,5.93,2.69,0
3.55,4.83,6.88,0
4.44,0.74,6.32,1
9.65,9.89,0.6,1
1.99,0.3,1.33,0
4.58,9.93,2.53,0
2.33,9.16,6.25,0
8.97,5.31,8.71,1
1.02,5.27,8.59,0
8.55,8.98,1.88,1
4.48,6.35,9.38,0
5.96,4.37,0.84,1
4.81,2.69,9.89,1
9.72,2.7,3.49,1
4.86,8.86,7.26,0
3.0,9.13,9.11,0
0.92,6.98,4.18,0
6.06,3.59,5.31,1
1.08,7.27,9.17,0
7.69,6.06,7.5,1
3.91,6.95,7.08,0
9.35,8.44,2.1,1
3.17,1.32,3.03,0
1.63,8.03,8.19,0
4.28,2.85,4.36,0
4.61,6.95,8.42,0
3.31,8.67,6.24,0
9.41,8.12,4.23,1
9.52,5.49,6.96,1
9.97,9.82,9.4,1
6.19,9.92,8.6,1
6.3,3.9,3.4,1
2.01,4.39,2.53,0
7.77,4.09,2.88,1
7.96,3.11,7.76,1
3.12,9.51,0.05,0
5.76,2.88,9.08,1
9.58,3.88,8.1,1
6.03,6.48,3.17,1
3.49,3.63,6.28,0
5.64,0.2,0.56,1
3.75,3.69,2.75,0
0.25,6.81,6.83,0
4.99,5.6,9.56,1
7.57,5.98,1.28,1
5.58,6.86,2.71,0
4.45,5.16,0.9,0
6.56,8.93,9.39,1
3.61,4.6,2.73,0
3.77,6.73,9.59,0
2.8,7.92,4.38,0
5.94,8.55,1.68,0
5.5,2.86,1.19,1
3.55,0.08,4.61,1
4.02,6.55,6.94,0
7.04,0.37,8.76,1
6.44,1.58,9.72,1
9.16,5.95,4.61,1
8.82,3.27,6.19,1
7.56,3.62,2.9,1
0.18,7.22,3.33,0
6.12,1.59,4.58,1
9.95,4.0,5.3,1
1.7,9.77,1.44,0
1.4,0.88,2.55,0
6.24,5.38,8.12,1
6.27,7.55,6.33,1
3.28,3.44,0.77,0
0.98,7.55,0.54,0
2.45,3.56,8.01,0
0.91,0.05,1.7,0
5.22,5.8,0.8,0
1.05,8.7,1.94,0
8.76,0.53,1.16,1
5.58,0.8,6.85,1
7.1,1.02,1.25,1
2.36,6.62,5.15,0
9.19,0.86,4.61,1
9.29,0.64,1.0,1
6.9,4.55,9.44,1
2.77,3.86,6.91,0
5.85,3.59,7.84,1
7.84,4.8,4.01,1
6.83,1.52,7.37,1
2.31,4.16,9.94,0
9.88,0.4,3.87,1
4.12,2.91,6.0,1
6.0,3.9,4.25,1
3.57,8.01,1.9,0
1.62,5.64,2.49,0
5.32,0.01,1.55,1
0.49,1.36,9.28,0
2.32,1.07,5.21,0
3.36,8.13,5.69,0
6.41,2.08,2.71,1
6.71,9.57,3.25,0
8.95,3.41,5.27,1
3.63,2.59,1.26,0
2.99,9.88,3.03,0
2.99,9.78,2.59,0
5.89,5.84,9.84,1
4.24,7.14,2.58,0
0.73,2.12,3.17,0
1.95,0.89,1.24,0
3.19,3.7,3.26,0
8.84,2.17,5.66,1
0.27,3.02,8.94,0
0.42,8.0,9.59,0
0.09,1.54,6.78,0
8.23,1.89,9.38,1
0.72,9.44,8.82,0
5.62,5.89,9.37,1
8.38,2.01,7.01,1
8.57,9.71,3.7,1
4.6,6.3,2.49,0
5.62,1.67,7.47,1
0.65,4.32,6.48,0
3.02,5.49,3.38,0
5.8,8.16,5.45,0
4.01,9.37,1.67,0
2.64,8.62,7.07,0
7.72,9.98,9.49,1
4.96,0.55,9.38,1
0.17,6.33,3.88,0
9.88,5.44,2.22,1
4.97,8.41,3.95,0
8.15,8.24,6.72,1
1.56,3.69,7.36,0
5.22,0.9,5.32,1
4.99,4.78,4.25,1
4.4,4.73,8.46,1
4.75,5.13,3.25,0
6.9,3.59,3.98,1
1.58,1.12,6.93,0
0.55,5.08,4.99,0
3.04,4.08,7.04,0
5.33,2.66,7.0,1
5.2,1.56,9.93,1
4.23,8.87,7.61,0
9.96,3.69,7.33,1
5.45,9.85,6.69,0
9.93,7.8,8.36,1
2.76,0.98,0.38,0
8.7,8.96,8.01,1
1.03,1.37,2.34,0
7.95,3.41,5.88,1
