X1,X2,X3,X4,X5,y
6.58,9.77,8.65,4.9,5.9,-26.89
0.63,5.24,0.18,2.6,5.69,-20.99
8.76,7.61,1.08,2.8,1.04,-14.43
1.55,4.91,9.5,8.07,5.47,-30.93
1.72,8.49,0.93,0.98,9.19,-23.9
1.43,1.53,4.43,5.83,3.36,-15.53
7.38,3.03,4.5,4.6,3.33,-6.22
3.41,6.45,2.45,4.92,7.57,-27.82
6.48,1.12,9.25,9.05,0.53,-13.26
0.47,4.04,6.74,5.02,2.6,-18.76
8.24,6.36,1.99,0.43,7.53,-4.04
0.91,5.98,0.79,3.35,8.66,-26.52
0.17,3.15,8.95,6.2,5.67,-19.76
1.77,7.44,3.59,9.59,4.8,-50.28
3.46,6.16,2.37,2.05,3.23,-13.67
2.04,5.79,1.57,1.37,1.35,-12.6
0.83,3.88,6.15,2.74,0.7,-7.81
3.23,0.36,9.48,1.06,5.31,16.43
8.82,3.47,5.16,6.85,8.99,-17.84
0.64,0.6,7.25,9.23,0.99,-22.15
2.27,8.0,8.8,2.61,6.52,-17.57
5.84,2.76,2.79,1.78,9.6,-1.74
4.1,5.93,6.15,5.22,4.76,-21.42
2.95,2.2,6.32,1.18,4.05,5.03
8.69,4.96,2.97,5.12,5.85,-17.66
5.16,7.74,2.83,3.42,6.86,-22.83
1.77,2.94,9.45,5.54,1.81,-10.45
4.14,1.87,8.46,0.52,0.46,15.37
5.47,5.75,8.38,3.1,4.23,-8.0
4.76,2.75,4.13,7.08,4.71,-20.94
3.08,8.35,1.87,1.54,9.13,-24.26
4.91,1.58,5.2,9.37,0.16,-23.86
8.37,6.3,9.97,3.47,5.98,-5.56
6.51,8.13,8.67,7.53,7.52,-33.4
1.91,6.35,6.47,8.32,0.67,-35.41
8.54,6.45,1.63,4.04,1.56,-16.12
4.63,6.11,4.79,2.34,5.57,-12.23
8.89,4.88,3.34,0.67,5.51,3.85
5.2,5.58,3.74,9.66,9.05,-41.82
9.1,7.48,5.97,7.46,5.08,-30.12
0.95,5.25,3.88,2.0,6.74,-13.17
6.03,3.83,6.11,2.96,4.76,-3.9
9.4,0.75,9.93,2.15,5.13,17.92
1.27,4.81,1.27,5.77,9.65,-32.44
9.08,7.63,4.11,7.37,0.62,-29.93
3.82,2.37,4.32,9.17,2.98,-27.33
1.06,1.65,6.69,0.81,0.17,9.27
0.72,8.52,8.46,0.66,7.66,-12.85
6.3,6.93,6.78,2.16,0.77,-7.65
2.42,5.3,6.46,0.97,8.09,-5.45
5.38,5.99,8.39,2.19,2.9,-4.26
7.34,2.18,6.66,4.4,5.14,-2.24
6.66,6.42,9.42,6.54,3.1,-21.13
0.86,1.69,1.49,6.89,9.71,-26.19
7.27,8.82,3.5,4.9,9.17,-32.36
0.15,0.08,8.02,2.99,1.58,4.47
8.63,2.41,5.95,4.64,0.73,-1.37
6.61,6.07,7.32,1.87,3.91,-4.31
3.75,4.71,0.12,8.96,7.78,-43.66
1.73,3.45,2.01,8.69,0.16,-34.25
8.16,9.87,7.59,3.01,5.21,-18.58
9.52,4.39,7.84,5.82,8.54,-10.97
0.52,0.9,0.79,7.02,0.71,-21.4
6.14,5.51,4.53,7.07,2.84,-24.85
8.08,7.94,0.43,2.0,6.65,-20.71
3.63,7.16,3.3,6.89,5.53,-37.1
2.67,4.0,3.17,4.52,3.04,-16.75
5.4,1.21,5.06,1.11,6.64,8.59
6.49,2.56,1.22,1.69,1.0,2.26
9.49,0.85,2.28,7.44,8.47,-15.85
4.85,2.84,7.32,5.94,6.76,-13.48
5.47,4.88,5.45,3.35,2.68,-7.51
0.64,0.07,4.28,8.34,4.07,-21.53
0.35,1.49,2.68,6.12,9.21,-23.64
8.56,2.02,3.64,4.5,8.72,-7.73
6.25,9.23,3.67,9.14,8.81,-49.66
5.99,3.82,3.97,7.93,2.59,-26.13
8.24,6.53,6.02,9.42,3.66,-36.0
2.71,8.36,2.56,1.9,2.74,-20.16
0.51,7.76,1.09,9.16,4.23,-53.46
5.53,2.49,7.62,5.88,7.94,-12.06
3.05,8.53,2.69,9.85,7.2,-57.17
0.62,0.55,4.35,6.41,8.01,-18.29
5.41,0.3,1.2,1.73,0.46,7.86
7.62,5.37,6.03,6.01,0.84,-17.63
2.72,8.69,7.89,5.49,2.52,-28.79
8.56,5.46,6.8,2.42,1.1,0.21
3.89,6.05,5.4,2.82,8.05,-15.9
2.98,6.07,4.75,4.94,6.99,-25.24
1.93,1.21,1.0,7.19,7.31,-26.56
1.12,0.32,1.23,5.86,6.43,-18.15
6.85,8.6,6.8,0.4,0.68,-3.62
1.94,7.9,8.81,5.14,7.21,-27.65
6.49,2.09,2.65,2.86,5.74,-2.62
1.8,9.64,7.55,7.88,4.45,-44.21
2.33,6.19,0.15,3.08,1.81,-22.1
6.43,9.24,0.7,1.55,7.85,-21.95
1.64,8.52,4.18,1.85,8.78,-25.37
0.21,5.7,5.84,9.74,6.22,-44.94
3.02,8.91,8.86,0.31,10.0,-11.12
1.85,5.57,1.37,9.99,3.22,-48.33
7.37,7.8,0.14,7.25,8.23,-40.47
5.98,3.02,6.04,2.45,0.13,1.9
9.66,9.52,5.02,4.99,4.54,-26.39
0.96,3.05,4.67,0.87,5.19,-3.5
7.09,1.82,7.75,9.01,9.69,-21.68
1.68,3.19,7.16,0.43,4.47,5.05
1.48,4.76,5.7,3.48,1.19,-13.45
4.18,3.86,2.44,1.46,3.7,-2.49
4.72,9.6,9.72,1.03,8.65,-13.43
7.37,4.22,9.69,2.45,0.24,3.87
7.54,5.35,1.45,3.14,8.91,-15.37
3.21,4.67,6.21,2.15,3.97,-3.66
2.2,9.11,7.17,3.91,5.55,-28.56
6.63,8.16,0.78,7.9,3.57,-41.47
1.64,4.6,9.09,6.03,3.66,-20.17
4.61,8.26,0.52,1.43,5.48,-20.43
4.65,3.88,0.87,8.42,1.0,-32.28
8.12,3.22,8.62,7.92,7.71,-16.47
8.89,3.06,5.69,2.74,3.23,3.82
5.61,7.53,6.38,5.74,5.06,-26.25
3.2,3.57,5.19,9.58,2.16,-32.84
4.52,7.95,0.12,3.3,0.23,-25.67
7.27,1.77,7.28,7.93,7.05,-15.95
3.44,4.17,4.55,7.82,1.67,-27.48
9.8,9.48,8.84,3.68,6.68,-17.23
5.67,9.62,3.89,3.9,7.95,-31.56
2.04,7.22,6.39,8.66,1.51,-39.03
2.35,0.17,7.01,9.14,2.36,-19.76
5.34,7.63,2.53,5.73,3.78,-30.45
6.0,9.28,4.24,3.03,6.07,-26.28
2.16,7.81,1.53,3.04,5.85,-27.17
2.1,9.77,5.19,1.27,1.89,-19.32
4.86,7.04,7.82,9.35,3.47,-39.54
1.05,6.99,2.24,3.54,6.97,-28.52
4.66,5.85,1.91,5.58,1.89,-25.59
1.95,6.59,7.86,8.26,1.9,-34.4
1.96,4.23,8.74,8.01,5.45,-28.46
5.32,7.16,5.67,8.44,0.09,-35.25
9.33,5.47,8.69,4.12,6.24,-6.43
6.25,7.75,8.86,6.1,4.39,-24.52
0.72,1.44,7.93,3.23,2.02,-2.09
9.92,4.21,7.82,7.88,0.56,-15.42
5.1,5.41,2.46,4.18,6.43,-21.86
4.71,5.02,2.88,1.83,2.38,-7.7
9.36,3.16,6.21,0.99,1.98,12.5
2.32,4.06,9.21,2.2,7.87,-3.1
5.52,9.37,2.32,1.82,1.99,-20.89
0.35,3.69,9.61,6.54,4.43,-22.35
9.81,1.21,7.42,9.98,0.57,-15.82
7.36,3.76,0.64,7.53,6.78,-28.44
3.71,7.24,1.09,2.31,8.63,-22.28
2.2,9.99,8.49,9.75,8.22,-55.64
0.11,8.13,1.08,0.51,7.7,-21.84
4.67,5.77,0.07,6.61,1.77,-31.22
5.12,9.72,2.82,9.99,3.69,-56.16
7.68,4.17,1.32,8.49,1.07,-30.01
1.06,9.88,6.6,5.36,1.49,-37.25
7.92,9.13,6.14,4.5,4.88,-24.49
4.82,4.55,0.01,6.21,3.33,-27.37
9.63,6.57,9.8,4.48,4.38,-9.62
3.51,3.98,9.99,9.15,3.91,-26.19
6.79,2.24,6.92,4.86,3.42,-6.78
3.8,7.53,1.45,7.74,5.72,-42.53
2.02,6.75,6.72,6.85,5.02,-31.88
0.46,7.1,7.91,0.32,1.74,-6.5
7.42,7.38,5.97,4.57,8.75,-22.63
9.73,8.75,7.27,3.02,6.95,-12.86
