X,y
1.96,13.3
7.03,15.06
4.14,13.43
5.77,14.62
7.28,25.31
1.91,2.16
5.73,17.1
6.14,27.13
5.44,12.56
7.93,20.93
5.44,21.66
4.02,14.05
0.82,-1.9
7.16,20.72
9.96,21.34
1.43,11.49
1.53,4.44
2.06,14.69
9.36,20.02
8.02,30.58
9.09,23.85
9.67,31.2
7.78,20.88
8.93,19.26
3.12,14.88
4.86,25.36
7.08,21.59
8.96,27.9
7.76,24.76
2.58,16.94
2.67,5.37
0.69,9.72
2.19,9.7
4.76,16.43
1.06,12.91
9.72,33.92
1.16,1.23
3.81,9.6
5.89,25.99
3.87,17.13
4.62,17.16
0.97,3.92
6.55,25.41
7.04,30.1
8.07,27.07
0.85,5.26
3.54,6.49
9.02,22.8
0.0,8.64
2.73,8.73
1.9,2.56
3.64,11.58
6.37,23.72
8.6,24.88
8.34,36.37
2.15,7.41
1.88,12.49
8.61,24.51
2.82,5.75
1.7,4.24
6.79,16.74
2.6,15.15
0.89,5.43
7.3,22.33
5.63,20.78
3.97,18.87
1.66,21.35
10.0,37.64
5.45,18.07
8.51,25.42
3.98,5.38
5.54,20.38
2.26,14.66
7.77,21.52
6.86,27.46
6.46,28.14
8.28,22.79
5.07,14.25
7.39,31.53
5.94,12.31
0.16,0.78
2.48,12.88
0.86,-1.14
4.62,16.44
1.05,7.6
7.92,22.33
4.56,12.82
2.67,7.13
5.19,23.01
7.19,27.23
9.77,28.26
7.45,21.57
0.16,3.84
2.89,17.28
8.35,24.44
0.89,11.03
7.04,17.02
0.43,-0.81
7.12,21.23
1.36,9.11
7.95,17.5
0.82,3.31
1.43,15.03
3.17,12.93
6.47,13.62
6.15,12.44
5.99,19.29
3.46,15.85
6.11,21.85
4.95,15.8
7.6,13.58
9.93,33.3
6.44,17.13
2.86,7.31
8.31,30.12
2.69,3.63
0.39,4.05
7.08,26.37
6.76,28.16
3.49,13.75
0.87,1.57
2.5,11.28
2.58,19.6
0.66,5.93
3.57,3.84
6.93,20.04
5.79,20.56
3.59,10.11
2.53,7.22
2.4,11.83
9.62,23.4
8.92,25.63
9.09,23.68
1.84,7.26
4.44,21.74
2.95,21.33
0.08,4.07
3.09,11.61
1.29,-1.31
9.37,21.37
8.13,21.6
6.48,23.43
1.33,12.74
2.08,4.04
0.42,11.38
5.48,23.71
5.54,12.73
9.56,37.95
6.41,22.9
6.62,19.86
4.29,19.39
6.49,20.77
8.62,29.19
6.84,19.77
2.21,3.46
9.85,30.64
5.41,16.14
0.95,0.24
9.94,24.13
3.66,16.25
0.97,8.45
5.23,10.53
5.69,5.88
0.07,-1.05
0.91,0.79
9.62,36.34
2.61,17.86
0.26,5.99
9.26,21.65
3.86,9.49
5.47,17.85
5.43,28.65
0.73,8.96
1.97,11.25
7.64,20.5
6.74,15.23
7.79,11.01
2.46,12.76
2.71,18.51
1.82,11.4
7.27,17.71
8.76,30.28
8.21,21.08
3.18,16.51
5.93,21.31
7.62,28.92
2.1,16.52
8.09,20.14
9.83,25.32
0.97,11.06
5.1,12.34
1.21,3.03
6.42,4.81
3.33,4.7
9.83,30.92
4.03,8.79
5.51,19.09
7.81,34.85
7.1,21.41
9.93,23.12
0.82,9.34
9.55,29.85
2.98,12.64
5.44,9.34
7.75,25.69
1.8,7.14
6.49,19.38
8.54,4.91
7.09,29.2
6.53,21.95
8.18,21.6
7.87,25.19
2.76,1.18
0.12,2.53
4.3,16.94
5.46,19.83
0.22,0.43
4.88,11.06
4.11,8.91
6.76,21.68
9.23,23.54
8.17,29.65
6.11,15.35
4.14,16.77
2.07,6.52
7.29,29.33
8.72,23.43
9.64,27.52
8.6,28.32
2.36,13.71
1.27,4.76
7.56,21.34
7.36,27.13
1.49,6.97
8.87,40.28
2.3,4.08
8.09,29.14
9.49,25.51
3.64,14.41
6.83,16.77
0.38,9.84
8.05,28.81
4.25,14.05
2.32,12.93
0.01,8.5
3.27,9.65
9.57,25.57
4.07,20.41
3.42,10.67
6.39,15.84
3.97,10.29
2.31,16.15
5.95,23.09
6.0,26.55
9.7,25.37
9.19,22.4
9.46,23.69
3.41,15.47
9.02,16.12
8.15,21.38
5.41,13.86
5.53,12.05
4.39,12.57
5.37,23.32
9.86,19.84
9.11,22.49
4.07,25.18
4.74,18.55
0.68,9.57
0.68,8.69
8.7,28.17
1.46,13.72
5.75,18.79
8.51,25.6
3.06,13.31
7.76,15.52
7.41,13.55
7.15,18.75
8.66,19.91
5.37,21.98
6.04,20.94
5.17,17.36
8.38,25.48
5.06,14.31
5.37,25.5
4.32,16.38
9.31,25.86
7.9,27.5
0.36,5.88
5.06,13.88
6.16,14.08
5.42,15.1
8.81,30.12
7.36,18.03
2.98,18.97
9.74,27.5
2.21,14.58
8.52,26.12
9.43,29.11
4.59,16.61
6.71,19.9
1.54,14.17
7.5,16.88
8.07,16.54
1.51,3.89
1.61,4.9
7.13,21.98
0.8,10.25
1.27,-4.86
3.78,10.08
5.82,17.27
9.06,29.68
7.84,30.01
9.46,35.96
3.55,11.8
4.72,13.95
3.07,13.83
4.47,12.38
0.39,-0.6
7.48,21.85
5.19,7.22
5.96,18.76
6.41,30.58
7.25,28.78
7.16,6.4
2.05,14.2
4.02,10.59
9.55,27.55
7.1,16.6
5.51,22.38
3.21,7.14
5.93,21.71
3.23,9.95
0.63,7.53
4.05,15.91
2.39,12.99
1.95,12.07
0.05,7.25
7.77,17.7
3.36,17.12
1.27,3.87
6.14,21.49
5.68,20.53
0.4,11.72
3.92,17.23
0.24,-1.42
6.13,30.26
0.88,5.35
4.42,13.02
9.77,24.86
3.22,14.77
7.84,16.01
0.2,4.14
1.08,9.0
9.01,26.93
3.66,11.35
9.17,26.43
3.9,13.32
6.43,17.67
9.2,21.06
4.15,13.57
7.71,17.87
6.5,23.06
8.68,19.84
8.48,27.83
5.06,15.07
7.02,16.6
6.63,19.5
3.51,13.12
8.33,23.65
1.54,5.2
1.35,10.91
6.58,19.19
4.63,9.23
6.96,23.67
4.18,6.82
4.3,13.43
9.48,24.76
7.12,26.83
7.1,22.12
6.53,29.41
4.59,14.22
6.49,22.0
8.66,18.56
0.73,4.66
8.78,24.04
7.56,27.93
4.94,10.71
9.51,28.04
0.69,1.74
2.79,4.66
5.58,19.63
3.56,15.94
1.35,6.33
4.67,10.22
1.96,0.29
2.71,16.4
4.93,17.44
6.14,16.75
4.61,15.23
5.14,20.98
0.1,6.83
1.72,8.49
2.42,7.29
8.07,15.45
3.88,16.53
3.59,21.93
8.51,26.46
2.62,10.71
5.01,11.97
2.0,8.68
4.26,3.65
7.38,25.71
3.83,14.18
5.13,15.15
8.34,15.66
3.36,10.92
2.84,12.38
3.77,8.63
3.68,20.31
2.59,8.78
0.82,8.28
7.44,28.88
2.98,9.34
7.88,25.41
2.87,20.91
3.02,9.23
3.92,8.93
6.1,26.11
7.04,14.56
9.97,24.53
3.32,14.56
1.43,3.35
9.84,29.24
8.75,29.0
9.26,20.26
4.23,8.93
7.45,24.87
9.47,23.32
1.52,4.35
0.57,0.16
8.04,23.46
7.53,21.59
9.73,29.11
4.06,16.35
3.0,12.96
4.52,14.22
8.95,31.81
7.69,18.45
6.43,20.85
9.38,28.53
0.2,-7.91
7.99,27.8
7.85,21.03
8.1,26.4
9.36,26.25
9.79,22.82
2.98,8.45
4.65,7.04
8.46,29.49
9.45,20.06
7.63,19.24
8.56,31.18
9.68,27.22
3.49,6.67
0.9,-3.06
8.64,34.06
8.36,24.23
0.39,10.31
9.26,29.61
9.63,30.64
5.29,29.53
6.22,9.73
4.52,22.82
9.74,32.27
1.37,4.53
4.96,16.99
6.9,15.02
6.26,18.04
0.47,-1.31
3.61,19.65
4.7,14.41
3.97,17.63
1.19,4.77
3.79,10.44
4.44,9.92
6.52,17.38
5.1,20.26
5.44,9.13
4.23,7.24
6.97,8.14
0.27,5.9
6.08,19.63
1.17,7.11
5.78,18.47
3.38,13.3
4.0,15.46
8.81,29.34
1.02,8.09
1.39,9.34
