X1,X2,X3,X4,y
1.96,2.76,1.77,9.18,-1.76
7.03,6.51,4.37,6.05,72.35
4.14,0.83,2.46,4.01,25.52
5.77,4.0,5.76,5.37,49.87
7.28,8.79,8.92,2.25,104.57
1.91,9.96,8.32,7.14,56.12
5.73,8.52,1.81,5.2,70.1
6.14,9.75,0.34,1.11,96.58
5.44,2.35,0.9,5.25,35.51
7.93,6.25,3.14,6.78,68.93
5.44,7.66,5.29,8.04,50.07
4.02,4.58,8.86,1.78,51.39
0.82,7.62,4.71,5.86,26.34
7.16,0.59,7.13,9.02,24.25
9.96,3.23,2.16,8.68,59.35
1.43,1.9,5.71,5.07,6.97
1.53,0.07,0.93,0.45,17.54
2.06,0.49,2.54,4.4,8.77
9.36,4.99,2.89,5.47,78.71
8.02,9.24,6.88,8.74,82.33
9.09,4.61,0.75,1.11,92.65
9.67,2.4,5.28,2.58,79.49
7.78,6.12,5.84,4.41,83.45
8.93,2.85,1.85,9.46,50.22
3.12,7.8,3.52,8.29,37.19
4.86,3.29,9.26,0.2,62.65
7.08,6.25,3.5,1.93,84.39
8.96,3.58,4.05,4.57,70.86
7.76,2.74,5.7,9.52,36.41
2.58,0.11,8.53,4.31,0.48
2.67,2.45,4.46,1.04,28.23
0.69,9.5,0.36,6.4,43.3
2.19,0.66,7.09,2.01,17.24
4.76,2.18,8.35,4.53,35.81
1.06,8.05,0.38,1.79,50.46
9.72,2.11,5.33,0.32,84.71
1.16,2.33,5.67,9.83,-16.97
3.81,4.03,2.95,0.6,51.21
5.89,6.84,0.01,3.28,76.77
3.87,5.62,6.02,2.62,57.59
4.62,9.88,5.29,5.8,74.01
0.97,4.64,7.19,8.71,5.72
6.55,8.15,0.94,4.06,86.38
7.04,5.66,5.15,0.62,91.68
8.07,6.94,1.6,2.77,90.6
0.85,2.43,0.11,4.65,9.22
3.54,9.55,3.51,8.31,58.71
9.02,7.03,4.96,0.01,110.55
0.0,6.65,5.82,6.08,19.5
2.73,6.83,9.4,0.35,64.97
1.9,3.23,9.68,4.32,18.3
3.64,2.44,2.23,8.39,11.67
6.37,6.12,2.94,0.69,81.3
8.6,7.36,4.63,1.02,104.65
8.34,1.15,8.18,6.11,44.18
2.15,7.48,1.39,6.65,33.76
1.88,6.62,0.93,8.48,25.7
8.61,5.96,0.34,0.57,103.43
2.82,2.16,6.99,2.96,26.37
1.7,9.2,3.66,6.78,45.03
6.79,3.7,8.67,1.87,69.64
2.6,9.38,2.18,0.44,75.52
0.89,3.53,3.97,7.81,-0.7
7.3,2.5,8.06,0.78,69.31
5.63,3.41,1.85,1.26,64.26
3.97,8.52,1.0,6.95,53.32
1.66,4.21,6.85,6.04,18.22
10.0,1.77,5.33,8.67,51.98
5.45,4.3,1.63,4.73,46.16
8.51,9.25,3.39,3.71,106.97
3.98,3.35,3.64,9.27,15.69
5.54,0.13,6.33,1.05,40.77
2.26,4.79,8.25,0.45,45.39
7.77,6.26,9.85,3.46,80.22
6.86,3.88,6.79,2.79,68.64
6.46,9.14,1.52,5.26,81.89
8.28,9.99,5.62,8.96,91.66
5.07,5.48,0.88,4.13,57.64
7.39,3.06,2.43,6.73,45.14
5.94,2.44,6.16,5.41,38.67
0.16,7.49,9.99,1.82,47.42
2.48,2.74,1.43,5.29,21.05
0.86,7.95,6.28,0.53,65.97
4.62,9.74,1.79,1.75,88.66
1.05,0.68,0.78,9.15,-21.52
7.92,7.92,0.21,6.24,79.38
4.56,5.54,2.72,2.74,59.26
2.67,0.06,2.12,4.57,-0.13
5.19,8.19,4.53,9.24,56.18
7.19,6.75,1.26,0.92,90.0
9.77,5.23,7.63,2.7,96.46
7.45,5.35,0.87,7.17,59.72
0.16,6.62,7.58,2.23,35.32
2.89,9.72,8.89,6.11,63.62
8.35,5.64,8.6,9.91,58.68
0.89,2.84,4.28,2.77,18.23
7.04,3.67,5.64,5.11,56.55
0.43,8.51,1.09,7.79,28.94
7.12,6.39,1.44,4.75,76.77
1.36,6.1,9.16,0.01,52.24
7.95,1.44,3.95,5.92,41.3
0.82,2.18,5.09,0.9,20.96
1.43,4.16,1.43,6.4,11.77
3.17,6.17,0.98,9.13,27.88
6.47,7.43,0.33,4.91,66.21
6.15,1.71,0.64,7.8,27.7
5.99,5.36,2.75,4.61,67.15
3.46,2.1,8.35,8.0,12.92
6.11,0.97,2.79,0.14,52.88
4.95,7.7,9.16,6.16,59.73
7.6,1.38,3.45,7.08,33.32
9.93,8.81,2.07,3.2,112.44
6.44,1.66,5.89,8.66,24.83
2.86,2.58,3.23,3.85,26.86
8.31,6.73,3.9,8.17,70.53
2.69,6.98,2.83,1.02,67.24
0.39,0.12,4.41,6.76,-18.55
7.08,4.2,8.49,7.72,48.67
6.76,2.91,3.78,5.99,42.99
3.49,0.37,4.21,9.75,-3.19
0.87,8.44,4.81,1.98,52.43
2.5,4.68,7.43,0.46,50.29
2.58,0.35,6.48,5.81,0.66
